,title,userscore,release
0,Maid: Season 1,7.5,"October 1, 2021"
1,PEN15: Season 1,6.9,"February 8, 2019"
2,The Walking Dead: Season 3,7.6,"October 14, 2012"
3,Boardwalk Empire: Season 2,8.5,"September 25, 2011"
4,The Night Manager: Season 1,7.7,"April 19, 2016"
5,Beartown,6.1,"February 22, 2021"
6,Law & Order: UK: Season 1,7.2,"February 23, 2009"
7,The Tourist: Season 1,7.4,"March 3, 2022"
8,Bates Motel: Season 5,8.1,"February 20, 2017"
9,Cheer (2020): Season 2,tbd,"January 12, 2022"
10,FEUD: Season 1,8.7,"March 5, 2017"
11,Jesus Christ Superstar Live in Concert,5.0,"April 1, 2018"
12,Reaper: Season 1,8.6,"September 25, 2007"
13,Alias Grace: Season 1,7.1,"September 25, 2017"
14,The End of the F***ing World: Season 1,8.0,"October 24, 2017"
15,Bobby Fischer Against The World,6.8,"June 6, 2011"
16,The Crown: Season 1,8.5,"November 4, 2016"
17,Little Dorrit: Season 1,8.4,"October 26, 2008"
18,Burton and Taylor,7.3,"October 16, 2013"
19,The Nine: Season 1,7.8,"October 4, 2006"
20,Mare of Easttown: Season 1,8.4,"April 18, 2021"
21,Mr. Robot: Season 2,8.1,"July 13, 2016"
22,Vikings: Season 3,7.1,"February 19, 2015"
23,Extras: Season 1,8.5,"July 21, 2005"
24,Dickinson: Season 2,4.8,"January 8, 2021"
25,Unforgotten: Season 4,7.0,"July 11, 2021"
26,Marvel's Jessica Jones: Season 1,8.1,"November 20, 2015"
27,State of the Union: Season 1,7.5,"September 8, 2019"
28,Toy Story That Time Forgot,7.8,"December 2, 2014"
29,The Loving Story,tbd,"February 14, 2012"
30,A Raisin in the Sun,7.6,"February 25, 2008"
31,Elizabeth I: Season 1,8.1,"April 22, 2006"
32,Brooklyn Nine-Nine: Season 6,7.4,"January 10, 2019"
33,GLOW: Season 1,8.0,"June 23, 2017"
34,Curb Your Enthusiasm: Season 7,8.6,"September 20, 2009"
35,The Adam Carolla Project: Season 7,7.6,"September 30, 2012"
36,Orange is the New Black: Season 7,7.7,"July 26, 2019"
37,Search Party (2016): Season 1,7.8,"November 21, 2016"
38,Cheer (2020): Season 1,7.8,"January 8, 2020"
39,Damages: Season 3,8.9,"January 25, 2010"
40,Torchwood (UK): Season 3,7.9,"July 6, 2009"
41,Gilmore Girls: Season 1,8.5,"October 5, 2000"
42,Sons of Anarchy: Season 4,7.8,"September 6, 2011"
43,The Hour (UK): Season 1,7.9,"July 19, 2011"
44,Damages: Season 2,8.7,"January 7, 2009"
45,Survivor's Remorse: Season 1,7.6,"October 4, 2014"
46,Central Park: Season 1,7.0,"May 29, 2020"
47,Years of Living Dangerously: Season 1,7.1,"April 13, 2014"
48,Veronica Mars: Season 1,8.6,"September 22, 2004"
49,Lemony Snicket's A Series of Unfortunate Events (2017): Season 1,8.0,"January 13, 2017"
50,Dharma & Greg: Season 1,7.5,"September 24, 1997"
51,Station Eleven: Season 1,6.2,"December 16, 2021"
52,Five Came Back: Season 1,7.2,"March 31, 2017"
53,High Maintenance (2016): Season 1,6.1,"September 16, 2016"
54,David Makes Man: Season 1,6.8,"August 14, 2019"
55,All The President's Men Revisited,tbd,"April 21, 2013"
56,Call The Midwife: Season 1,8.3,"January 15, 2012"
57,Tuca & Bertie: Season 1,7.0,"May 3, 2019"
58,The Leftovers: Season 2,9.1,"October 4, 2015"
59,Country Music,7.5,"September 15, 2019"
60,The Boys: Season 2,6.7,"September 4, 2020"
61,Patrick Melrose: Season 1,6.0,"May 12, 2018"
62,Treme: Season 4,7.6,"December 1, 2013"
63,Project Runway: Season 6,6.6,"August 20, 2009"
64,Curb Your Enthusiasm: Season 1,8.5,"October 15, 2000"
65,Justified: Season 1,9.1,"March 16, 2010"
66,Generation Kill: Season 1,8.7,"July 13, 2008"
67,Deadwood: Season 1,9.2,"March 21, 2004"
68,GLOW: Season 3,7.1,"August 9, 2019"
69,Insecure: Season 5,7.0,"October 24, 2021"
70,Atlanta's Missing and Murdered: The Lost Children: Season 1,7.7,"April 5, 2020"
71,Buffy the Vampire Slayer: Season 1,8.2,"March 10, 1997"
72,Southland: Season 3,8.6,"January 4, 2011"
73,Better Things: Season 1,7.8,"September 8, 2016"
74,The Long Road Home: Season 1,4.7,"November 7, 2017"
75,Never Have I Ever: Season 1,7.3,"April 27, 2020"
76,Manhattan: Season 2,8.4,"October 13, 2015"
77,Torchwood (UK): Season 2,7.8,"January 16, 2008"
78,From the Earth to the Moon: Season 1,6.5,"April 5, 1998"
79,Lupin: Season 2,6.0,"June 11, 2021"
80,The Good Fight: Season 1,7.3,"February 19, 2017"
81,Jane the Virgin: Season 1,7.9,"October 13, 2014"
82,Five Days: Season 1,7.2,"January 23, 2007"
83,Community: Season 5,8.8,"January 2, 2014"
84,"I Love You, Now Die: The Commonwealth v. Michelle Carter",8.3,"July 9, 2019"
85,Project Greenlight: Season 4,7.2,"September 13, 2015"
86,The Ghost Army,tbd,"May 21, 2013"
87,Endeavour: Season 1,8.1,"April 14, 2013"
88,Circus: Season 1,4.7,"November 3, 2010"
89,Dream On: Season 1,tbd,"July 8, 1990"
90,The Wonder Years: Season 1,8.1,"January 31, 1988"
91,Narcos: Mexico: Season 1,8.1,"November 1, 2018"
92,The Walking Dead: Season 5,7.1,"October 12, 2014"
93,The Newspaperman: The Life and Times of Ben Bradlee,3.5,"December 4, 2017"
94,The Walking Dead: Season 2,7.1,"October 16, 2011"
95,Frasier: Season 1,8.3,"September 16, 1993"
96,Game of Thrones: Season 1,9.1,"April 17, 2011"
97,Never Have I Ever: Season 2,6.8,"July 15, 2021"
98,Girls5eva: Season 1,6.5,"May 6, 2021"
99,Northern Exposure: Season 1,7.2,"July 12, 1990"
100,The Challenger Disaster: Season 1,8.3,"November 16, 2013"
101,Doctor Who: Season 8,7.1,"August 23, 2014"
102,ER: Season 1,8.3,"September 19, 1994"
103,Flight of the Conchords: Season 2,7.3,"January 18, 2009"
104,The Marvelous Mrs. Maisel: Season 1,8.1,"March 16, 2017"
105,House of Cards (2013): Season 2,8.7,"February 14, 2014"
106,What We Do in the Shadows (2019): Season 1,8.3,"March 27, 2019"
107,The Carmichael Show: Season 2,7.1,"March 9, 2016"
108,The Other Two: Season 1,8.1,"January 24, 2019"
109,Les Miserables (2019),6.9,"April 14, 2019"
110,Orange is the New Black: Season 1,8.4,"July 11, 2013"
111,Orphan Black: Season 2,7.6,"April 19, 2014"
112,Desperate Housewives: Season 1,8.7,"October 3, 2004"
113,Speechless (2016): Season 1,7.0,"September 21, 2016"
114,The Wrong Mans: Season 1,8.5,"September 24, 2013"
115,Agatha Christie’s The Witness for the Prosecution,6.7,"January 30, 2017"
116,Amend: The Fight for America: Season 1,2.6,"February 17, 2021"
117,Sex Education: Season 1,8.0,"January 11, 2019"
118,The Queen's Gambit: Season 1,8.5,"October 23, 2020"
119,Star Wars: Visions: Season 1,6.3,"September 22, 2021"
120,Nip/Tuck: Season 5,7.9,"October 30, 2007"
121,Swagger: Season 1,6.5,"October 29, 2021"
122,Toy Story of Terror,8.1,"October 16, 2013"
123,Seinfeld: Season 1,9.0,"July 5, 1989"
124,Scrubs: Season 1,8.8,"October 2, 2001"
125,Party of Five: Season 1,9.3,"September 12, 1994"
126,United States of Tara: Season 2,7.4,"March 22, 2010"
127,Sense and Sensibility: Season 1,6.6,"February 1, 1981"
128,Mr. Dynamite: The Rise of James Brown,7.0,"October 27, 2014"
129,True Blood: Season 3,7.6,"June 13, 2010"
130,Now and Again: Season 1,tbd,"September 24, 1999"
131,Agents of Chaos: Season 1,3.9,"September 23, 2020"
132,Lovecraft Country: Season 1,5.7,"August 16, 2020"
133,Gavin and Stacey: Season 1,8.0,"May 13, 2007"
134,Landscapers: Season 1,7.5,"December 6, 2021"
135,Brockmire: Season 1,7.2,"April 5, 2017"
136,24: Season 6,8.0,"January 14, 2007"
137,Pose: Season 2,7.7,"June 11, 2019"
138,Lights Out: Season 1,8.1,"January 11, 2011"
139,Witness: Season 1,7.3,"November 5, 2012"
140,The Wire: Season 1,9.3,"June 2, 2002"
141,One Day at a Time (2017): Season 1,7.6,"January 6, 2017"
142,Bodyguard: Season 1,7.2,"August 26, 2018"
143,Smash: Season 1,7.1,"February 6, 2012"
144,Everything's Gonna Be Okay: Season 1,tbd,"January 16, 2020"
145,The Hour (UK): Season 2,7.8,"November 14, 2012"
146,Black Lightning: Season 1,5.3,"January 16, 2018"
147,This American Life: Season 1,7.9,"March 22, 2007"
148,Stephen King's It: Season 1,7.8,"November 18, 1990"
149,Damages: Season 5,8.2,"July 11, 2012"
150,24: Season 4,8.8,"January 9, 2005"
151,Being Human (UK): Season 1,7.6,"January 25, 2009"
152,Unbreakable Kimmy Schmidt: Kimmy Vs. The Reverend,6.7,"May 12, 2020"
153,South Side: Season 1,tbd,"July 24, 2019"
154,Spotless: Season 1,7.6,"November 14, 2015"
155,Queer Eye (2018): Season 2,6.5,"June 15, 2018"
156,Life on Mars (UK): Season 1,9.0,"January 9, 2006"
157,What We Do in the Shadows (2019): Season 2,8.9,"April 15, 2020"
158,Parenthood (1990): Season 1,tbd,"August 20, 1990"
159,Big Love: Season 3,6.7,"January 18, 2009"
160,White Collar: Season 1,8.9,"October 23, 2009"
161,Marvel's Luke Cage: Season 1,8.0,"September 30, 2016"
162,Life on Mars (UK): Season 2,8.6,"February 13, 2007"
163,The Carmichael Show: Season 3,6.8,"May 31, 2017"
164,Girls: Season 6,6.0,"February 12, 2017"
165,Mr. Robot: Season 1,8.7,"May 27, 2015"
166,The Walking Dead: Season 6,6.5,"October 11, 2015"
167,The West Wing: Season 1,8.1,"September 22, 1999"
168,The Haunting of Hill House: Season 1,8.0,"October 12, 2018"
169,Anne with an E: Season 1,7.9,"May 12, 2017"
170,Deutschland 83: Season 1,8.4,"June 17, 2015"
171,Wild Wild Country: Season 1,7.5,"March 16, 2018"
172,Nurse Jackie: Season 3,7.1,"March 28, 2011"
173,Joan of Arcadia: Season 1,tbd,"September 26, 2003"
174,Mindhunter: Season 1,8.4,"October 13, 2017"
175,Togetherness: Season 1,7.5,"January 11, 2015"
176,Euphoria Special Episode Part 2: Jules,7.4,"January 24, 2021"
177,Vietnam in HD: Season 1,8.7,"November 8, 2011"
178,Roseanne: Season 1,7.5,"October 18, 1988"
179,The Girlfriend Experience: Season 1,7.7,"April 10, 2016"
180,The Game (2014): Season 1,7.6,"November 5, 2014"
181,Crazy Ex-Girlfriend: Season 1,7.9,"October 12, 2015"
182,Doctor Who: Season 11,2.4,"October 7, 2018"
183,Escape At Dannemora: Season 1,7.8,"November 18, 2018"
184,Archer: Season 1,9.0,"September 17, 2009"
185,Boss: Season 1,8.1,"October 21, 2011"
186,The Keepers: Season 1,7.8,"May 19, 2017"
187,Yellowjackets: Season 1,7.5,"November 14, 2021"
188,"Dr. Katz, Professional Therapist: Season 1",tbd,"May 28, 1995"
189,Abbott Elementary: Season 1,5.6,"December 7, 2021"
190,Unbreakable Kimmy Schmidt: Season 3,7.1,"May 19, 2017"
191,Starstruck (2021): Season 1,7.1,"June 10, 2021"
192,Gideon's Crossing: Season 1,tbd,"October 10, 2000"
193,Project Runway: Season 4,7.2,"November 14, 2007"
194,Search Party (2016): Season 3,8.0,"June 25, 2020"
195,John McCain: For Whom the Bell Tolls,5.6,"May 28, 2018"
196,Weeds: Season 2,8.1,"August 14, 2006"
197,Chris Rock: Tamborine,4.4,"February 14, 2018"
198,Better Call Saul: Season 1,8.6,"February 8, 2015"
199,Ozark: Season 4,8.5,"January 21, 2022"
200,Manhattan: Season 1,7.8,"July 27, 2014"
201,Robin Williams: Come Inside My Mind,8.0,"July 16, 2018"
202,Luther: Season 2,6.1,"June 14, 2011"
203,Great Migrations: Season 1,tbd,"November 7, 2010"
204,Push Girls: Season 1,4.6,"June 4, 2012"
205,Narcos: Season 3,8.3,"September 1, 2017"
206,Years and Years: Season 1,7.5,"May 14, 2019"
207,Becoming Chaz: Season 1,6.3,"May 10, 2011"
208,The Adam Carolla Project: Season 3,8.1,"September 28, 2008"
209,Angie Tribeca: Season 1,6.6,"January 25, 2016"
210,Community: Season 6,8.3,"March 17, 2015"
211,Work in Progress: Season 1,4.9,"December 8, 2019"
212,UnReal: Season 1,8.3,"June 1, 2015"
213,Sharp Objects: Season 1,7.0,"July 8, 2018"
214,Dave Chappelle: The Age of Spin,8.4,"March 21, 2017"
215,Cancer: The Emperor of  All Maladies,7.2,"March 30, 2015"
216,Damages: Season 4,7.5,"July 13, 2011"
217,John Adams: Season 1,8.5,"March 16, 2008"
218,Men of a Certain Age: Season 1,8.6,"December 7, 2009"
219,Search Party (2016): Season 2,7.0,"November 19, 2017"
220,The Golden Globe Awards,3.6,"January 7, 2018"
221,Beware The Slenderman,5.5,"January 23, 2017"
222,Project Greenlight: Season 1,8.0,"December 2, 2001"
223,The Last Kingdom: Season 1,8.3,"October 10, 2015"
224,Stranger Things: Season 2,8.2,"October 27, 2017"
225,The Affair: Season 2,7.5,"October 4, 2015"
226,Last Tango in Halifax: Season 1,7.2,"November 20, 2012"
227,Thurgood,tbd,"February 24, 2011"
228,Hopkins: Season 1,8.4,"June 26, 2008"
229,In My Skin: Season 1,5.5,"April 1, 2020"
230,Dear White People (2017): Season 3,5.1,"August 2, 2019"
231,Sweet Tooth: Season 1,6.6,"June 4, 2021"
232,Lost: Season 5,8.6,"January 21, 2009"
233,The Good Place: Season 1,8.1,"September 19, 2016"
234,Friday Night Lights: Season 1,9.1,"October 3, 2006"
235,The Terror: Season 2,6.1,"August 12, 2019"
236,All The Way (2016),7.2,"May 21, 2016"
237,The Flight Attendant: Season 1,6.5,"November 26, 2020"
238,Glee: Season 1,7.7,"May 19, 2009"
239,The Americans: Season 1,8.4,"January 30, 2013"
240,Unbreakable Kimmy Schmidt: Season 1,8.0,"March 6, 2015"
241,A West Wing Special to Benefit When We All Vote,tbd,"October 15, 2020"
242,Tokyo Vice: Season 1,tbd,"April 7, 2022"
243,Horace and Pete: Season 1,8.4,"January 30, 2016"
244,Love Life: Season 2,6.4,"October 28, 2021"
245,Rescue Me: Season 6,6.6,"June 29, 2010"
246,Broken Trail,8.5,"June 24, 2006"
247,This Way Up: Season 1,7.8,"August 8, 2019"
248,YOU: Season 3,7.1,"October 15, 2021"
249,Slow Horses: Season 1,6.8,"April 1, 2022"
250,The Andy Warhol Diaries: Season 1,tbd,"March 9, 2022"
251,American Gods: Season 1,7.4,"April 30, 2017"
252,Penny Dreadful: Season 2,8.5,"May 3, 2015"
253,WandaVision: Season 1,6.5,"January 15, 2021"
254,Appropriate Adult: Season 1,tbd,"September 4, 2011"
255,My Name Is Earl: Season 1,8.7,"September 20, 2005"
256,Grey Gardens,8.6,"April 18, 2009"
257,Sally4Ever: Season 1,6.0,"November 11, 2018"
258,Sneaky Pete: Season 1,7.5,"August 7, 2015"
259,Black-ish: Season 1,6.2,"September 24, 2014"
260,Casual: Season 1,7.7,"October 7, 2015"
261,Narcos: Season 1,8.9,"August 28, 2015"
262,Vikings: Season 2,7.5,"February 27, 2014"
263,Watergate: Season 1,6.6,"November 2, 2018"
264,Roswell: Season 1,7.6,"October 6, 1999"
265,The Adam Carolla Project: Season 1,9.2,"October 1, 2006"
266,Zen: Season 1,7.6,"January 2, 2011"
267,Harlem: Season 1,3.6,"December 3, 2021"
268,Game of Thrones: Season 7,7.8,"July 16, 2017"
269,Amy Schumer: Live at the Apollo,4.8,"October 17, 2015"
270,The Bridge (2013): Season 1,7.8,"July 10, 2013"
271,Life Support,8.3,"March 10, 2007"
272,House: Season 5,8.6,"September 16, 2008"
273,The Great North: Season 1,tbd,"January 3, 2021"
274,Making It: Season 1,6.1,"July 31, 2018"
275,Mad Men: Season 1,8.6,"July 19, 2007"
276,Documentary Now!: Season 1,6.6,"August 20, 2015"
277,One Mississippi: Season 1,6.9,"November 5, 2015"
278,The Book of Negroes: Season 1,6.6,"January 7, 2015"
279,Crossfire Hurricane,tbd,"November 15, 2012"
280,Forever (2018): Season 1,6.3,"September 14, 2018"
281,Love Fraud: Season 1,tbd,"August 30, 2020"
282,We Are Who We Are: Season 1,7.0,"September 14, 2020"
283,An Adventure in Space and Time,7.3,"November 21, 2013"
284,Philly D.A.,tbd,"April 20, 2021"
285,Homeland: Season 3,7.1,"September 29, 2013"
286,Desperate Housewives: Season 5,8.3,"September 28, 2008"
287,Empire (2015): Season 2,5.9,"September 23, 2015"
288,Gentleman Jack: Season 1,7.2,"May 19, 2019"
289,She's Gotta Have It (2017): Season 1,4.4,"November 23, 2017"
290,Foo Fighters: Sonic Highways: Season 1,8.2,"October 17, 2014"
291,Chicago Hope: Season 1,tbd,"September 18, 1994"
292,Betty: Season 1,6.9,"May 1, 2020"
293,Southland: Season 2,8.9,"March 2, 2010"
294,Ozark: Season 3,8.4,"March 27, 2020"
295,Minx: Season 1,7.0,"March 17, 2022"
296,Pretend It's a City,6.1,"January 8, 2021"
297,Boardwalk Empire: Season 4,8.6,"September 8, 2013"
298,Party of Five (2020): Season 1,5.7,"January 8, 2020"
299,The Adam Carolla Project: Season 4,9.0,"September 27, 2009"
300,The Man in the High Castle: Season 1,7.3,"November 20, 2015"
301,The Real World: Season 2,tbd,"June 26, 1993"
302,Julie and the Phantoms: Season 1,8.2,"September 10, 2020"
303,Aliens in America: Season 1,8.0,"October 1, 2007"
304,Homeland: Season 5,7.4,"October 4, 2015"
305,Bosch: Season 2,8.4,"March 11, 2016"
306,W/ Bob & David: Season 1,8.1,"November 13, 2015"
307,This Is Us: Season 1,7.4,"September 20, 2016"
308,House: Season 6,7.6,"September 21, 2009"
309,On Becoming a God in Central Florida: Season 1,7.9,"August 25, 2019"
310,13 Reasons Why: Season 1,7.6,"March 31, 2017"
311,Gomorrah (2016): Season 1,8.2,"August 24, 2016"
312,House of Cards (2013): Season 1,8.9,"February 1, 2013"
313,Doctor Who: Season 5,8.4,"April 3, 2010"
314,The Tenth Inning: Season 1,7.2,"September 28, 2010"
315,Last Week Tonight with John Oliver: Season 1,8.3,"April 27, 2014"
316,Blindspotting: Season 1,5.6,"June 13, 2021"
317,The Terror: Season 1,7.8,"March 26, 2018"
318,Luther: Season 3,5.6,"July 2, 2013"
319,The Defiant Ones (2017),7.8,"July 9, 2017"
320,Manhunt (2013),8.2,"May 1, 2013"
321,Loudermilk: Season 1,6.3,"October 17, 2017"
322,Preacher: Season 2,7.5,"June 25, 2017"
323,Benjamin Franklin: Season 1,tbd,"April 4, 2022"
324,Whitechapel: Season 1,7.6,"February 2, 2009"
325,Counterpart: Season 1,7.4,"December 10, 2017"
326,Servant: Season 2,6.8,"January 15, 2021"
327,Pose: Season 3,6.5,"May 2, 2021"
328,Challenger: The Final Flight,tbd,"September 16, 2020"
329,American Vandal: Season 2,7.9,"September 14, 2018"
330,The Girl From Plainville: Season 1,tbd,"March 29, 2022"
