title,release,metascore,userscore
106,The Comeback: Season 2,"November 9, 2014",71,The Comeback: Season 2
107,Maron: Season 1,"May 3, 2013",71,Maron: Season 1
108,The Sinner: Season 1,"August 2, 2017",71,The Sinner: Season 1
109,Chuck: Season 3,"January 10, 2010",71,Chuck: Season 3
110,The White Queen: Season 1,"June 16, 2013",70,The White Queen: Season 1
111,Review: Season 1,"March 6, 2014",71,Review: Season 1
112,Sarah Cooper: Everything's Fine,"October 27, 2020",71,Sarah Cooper: Everything's Fine
113,FlashForward: Season 1,"September 24, 2009",71,FlashForward: Season 1
114,Ray Donovan: Season 3,"July 12, 2015",71,Ray Donovan: Season 3
115,American Horror Story: Season 3,"October 9, 2013",71,American Horror Story: Season 3
116,The House: Season 1,"January 14, 2022",71,The House: Season 1
117,The Adam Carolla Project: Season 8,"June 30, 2013",71,The Adam Carolla Project: Season 8
118,Godfather of Harlem: Season 1,"September 29, 2019",72,Godfather of Harlem: Season 1
119,Californication: Season 1,"August 13, 2007",70,Californication: Season 1
120,Designated Survivor: Season 1,"September 21, 2016",71,Designated Survivor: Season 1
121,The Mighty Ducks: Game Changers: Season 1,"March 26, 2021",72,The Mighty Ducks: Game Changers: Season 1
122,Downward Dog: Season 1,"May 17, 2017",71,Downward Dog: Season 1
123,Faking It (2014): Season 1,"April 22, 2014",71,Faking It (2014): Season 1
124,Looney Tunes Cartoons: Season 1,"May 27, 2020",71,Looney Tunes Cartoons: Season 1
125,Mr. Mercedes: Season 1,"August 9, 2017",71,Mr. Mercedes: Season 1
126,Wallander: Season 1,"November 30, 2008",71,Wallander: Season 1
127,The Great British Baking Show: Season 9,"September 25, 2020",71,The Great British Baking Show: Season 9
128,Homeland: Season 8,"February 9, 2020",71,Homeland: Season 8
129,Catch-22 (2019): Season 1,"May 17, 2019",70,Catch-22 (2019): Season 1
130,Hunted: Season 1,"October 4, 2012",70,Hunted: Season 1
131,The Kids Are Alright: Season 1,"October 16, 2018",71,The Kids Are Alright: Season 1
132,Life (2007): Season 2,"September 29, 2008",72,Life (2007): Season 2
133,"Live in Front of a Studio Audience: Norman Lear's ""All in the Family"" and ""The Jeffersons""","May 22, 2019",71,"Live in Front of a Studio Audience: Norman Lear's ""All in the Family"" and ""The Jeffersons"""
134,The Starter Wife: Season 1,"May 31, 2007",71,The Starter Wife: Season 1
135,The Escape Artist: Season 1,"October 29, 2013",71,The Escape Artist: Season 1
136,Caprica: Season 1,"January 22, 2010",71,Caprica: Season 1
137,Shrill: Season 2,"January 24, 2020",71,Shrill: Season 2
138,Dr. Brain: Season 1,"November 3, 2021",71,Dr. Brain: Season 1
139,Saved by the Bell (2020): Season 1,"November 25, 2020",71,Saved by the Bell (2020): Season 1
140,Legit: Season 1,"January 17, 2013",71,Legit: Season 1
141,Naomi: Season 1,"January 11, 2022",72,Naomi: Season 1
142,Tracey Ullman's State of the Union: Season 1,"March 30, 2008",70,Tracey Ullman's State of the Union: Season 1
143,Murphy Brown: Season 1,"November 14, 1988",71,Murphy Brown: Season 1
144,Ordeal By Innocence: Season 1,"April 1, 2018",71,Ordeal By Innocence: Season 1
145,The Young Indiana Jones Chronicles: Season 1,"March 4, 1992",71,The Young Indiana Jones Chronicles: Season 1
146,Rome: Season 1,"August 28, 2005",71,Rome: Season 1
147,Son of the Beach: Season 1,"March 14, 2000",71,Son of the Beach: Season 1
148,Suburgatory: Season 1,"September 28, 2011",71,Suburgatory: Season 1
149,Entourage: Season 5,"September 7, 2008",70,Entourage: Season 5
150,Manhunt (2017): Season 1,"August 1, 2017",71,Manhunt (2017): Season 1
151,Stanley Tucci: Searching for Italy: Season 1,"February 14, 2021",71,Stanley Tucci: Searching for Italy: Season 1
152,Spy City: Season 1,"April 15, 2021",72,Spy City: Season 1
153,Human Target: Season 2,"November 17, 2010",71,Human Target: Season 2
154,Get Shorty: Season 1,"August 13, 2017",71,Get Shorty: Season 1
155,Our Nixon,"August 1, 2013",71,Our Nixon
156,Don't Trust the B---- in Apartment 23: Season 1,"April 11, 2012",71,Don't Trust the B---- in Apartment 23: Season 1
157,Devs: Season 1,"March 5, 2020",71,Devs: Season 1
158,Mrs. Fletcher: Season 1,"October 27, 2019",72,Mrs. Fletcher: Season 1
159,To Walk Invisible: The Brontë Sisters,"March 26, 2017",71,To Walk Invisible: The Brontë Sisters
160,Bosch: Season 1,"February 7, 2014",71,Bosch: Season 1
161,Big Love: Season 2,"June 11, 2007",71,Big Love: Season 2
162,Generation Cryo: Season 1,"November 25, 2013",70,Generation Cryo: Season 1
163,The No. 1 Ladies' Detective Agency: Season 1,"March 29, 2009",71,The No. 1 Ladies' Detective Agency: Season 1
164,Gotham: Season 1,"September 22, 2014",71,Gotham: Season 1
165,Sanditon: Season 1,"August 25, 2019",71,Sanditon: Season 1
166,The Grinder: Season 1,"September 29, 2015",71,The Grinder: Season 1
167,Our Flag Means Death: Season 1,"March 3, 2022",71,Our Flag Means Death: Season 1
168,jeen-yuhs: A Kanye Trilogy: Season 1,"February 16, 2022",71,jeen-yuhs: A Kanye Trilogy: Season 1
169,Huge: Season 1,"June 28, 2010",70,Huge: Season 1
170,The White Princess: Season 1,"April 16, 2017",71,The White Princess: Season 1
171,Torchwood (UK): Season 4,"July 8, 2011",70,Torchwood (UK): Season 4
172,Thief: Season 1,"March 28, 2006",71,Thief: Season 1
173,Tour de Pharmacy,"July 8, 2017",71,Tour de Pharmacy
174,Hustle: Season 1,"January 14, 2006",71,Hustle: Season 1
175,Almost Royal: Season 1,"June 21, 2014",71,Almost Royal: Season 1
176,grown-ish: Season 1,"January 3, 2018",71,grown-ish: Season 1
177,Parks and Recreation: Season 2,"September 17, 2009",71,Parks and Recreation: Season 2
178,Women of the Movement: Season 1,"January 6, 2022",71,Women of the Movement: Season 1
179,The Not Too Late Show with Elmo: Season 1,"May 27, 2020",72,The Not Too Late Show with Elmo: Season 1
180,McMillions: Season 1,"February 3, 2020",71,McMillions: Season 1
181,Running with Beto,"May 28, 2019",71,Running with Beto
182,Living with Yourself: Season 1,"October 18, 2019",70,Living with Yourself: Season 1
183,Katy Keene: Season 1,"February 6, 2020",71,Katy Keene: Season 1
184,Vinyl: Season 1,"February 14, 2016",71,Vinyl: Season 1
185,Colin in Black & White: Season 1,"October 29, 2021",71,Colin in Black & White: Season 1
186,The Real World: Season 4,"June 28, 1995",71,The Real World: Season 4
187,Spin City: Season 1,"September 17, 1996",71,Spin City: Season 1
188,Looking: The Movie,"July 23, 2016",71,Looking: The Movie
189,Important Things with Demetri Martin: Season 1,"February 11, 2009",71,Important Things with Demetri Martin: Season 1
190,Vikings: Season 1,"March 3, 2013",71,Vikings: Season 1
191,America in Color: Season 1,"July 2, 2017",71,America in Color: Season 1
192,Nightmares & Dreamscapes: From the Stories of Stephen King: Season 1,"July 12, 2006",71,Nightmares & Dreamscapes: From the Stories of Stephen King: Season 1
193,The Paradise: Season 1,"September 25, 2012",71,The Paradise: Season 1
194,"Murder, She Wrote: Season 1","September 30, 1984",71,"Murder, She Wrote: Season 1"
195,Finding Carter: Season 1,"July 8, 2014",71,Finding Carter: Season 1
196,Late Show with Stephen Colbert: Season 1,"September 8, 2015",72,Late Show with Stephen Colbert: Season 1
197,Portlandia: Season 1,"January 21, 2011",71,Portlandia: Season 1
198,Inside Men: Season 1,"February 2, 2012",71,Inside Men: Season 1
199,Brooklyn Nine-Nine: Season 1,"September 17, 2013",70,Brooklyn Nine-Nine: Season 1
0,Robin Hood: Season 1,"March 3, 2007",70,Robin Hood: Season 1
1,Doctor Who: Season 1,"March 26, 2005",70,Doctor Who: Season 1
2,Outcast: Season 1,"June 3, 2016",70,Outcast: Season 1
3,Life & Beth: Season 1,"March 18, 2022",70,Life & Beth: Season 1
4,It's Always Sunny in Philadelphia: Season 2,"June 29, 2006",70,It's Always Sunny in Philadelphia: Season 2
5,Billions: Season 1,"January 17, 2016",69,Billions: Season 1
6,mixed-ish: Season 1,"September 24, 2019",70,mixed-ish: Season 1
7,Das Boot (2019),"June 17, 2019",70,Das Boot (2019)
8,All-American Muslim: Season 1,"November 13, 2011",70,All-American Muslim: Season 1
9,Chucky: Season 1,"October 12, 2021",70,Chucky: Season 1
10,Moon Knight: Season 1,"March 30, 2022",69,Moon Knight: Season 1
11,Oz: Season 1,"July 12, 1997",70,Oz: Season 1
12,In Treatment: Season 1,"January 28, 2008",70,In Treatment: Season 1
13,High School Confidential: Season 1,"March 10, 2008",70,High School Confidential: Season 1
14,Blue Bloods: Season 1,"September 24, 2010",70,Blue Bloods: Season 1
15,Vikings: Valhalla: Season 1,"February 25, 2022",70,Vikings: Valhalla: Season 1
16,The Mindy Project: Season 1,"September 25, 2012",69,The Mindy Project: Season 1
17,Industry: Season 1,"November 9, 2020",69,Industry: Season 1
18,Wanderlust (2018): Season 1,"October 19, 2018",69,Wanderlust (2018): Season 1
19,Flying Blind: Season 1,"September 13, 1992",69,Flying Blind: Season 1
20,Penny Dreadful: Season 1,"May 11, 2014",70,Penny Dreadful: Season 1
21,Lodge 49: Season 1,"August 6, 2018",70,Lodge 49: Season 1
22,Louie: Season 1,"June 29, 2010",69,Louie: Season 1
23,Legendary: Season 1,"May 27, 2020",69,Legendary: Season 1
24,Future Man: Season 1,"November 14, 2017",70,Future Man: Season 1
25,Little Fires Everywhere: Season 1,"March 18, 2020",69,Little Fires Everywhere: Season 1
26,Trial by Media: Season 1,"May 11, 2020",69,Trial by Media: Season 1
27,And the Band Played On: Season 1,"January 1, 1993",69,And the Band Played On: Season 1
28,Roseanne: Season 10,"October 18, 1988",69,Roseanne: Season 10
29,The Path: Season 1,"March 30, 2016",70,The Path: Season 1
30,Quantico: Season 1,"September 27, 2015",70,Quantico: Season 1
31,The Chronicle: Season 1,"July 14, 2001",70,The Chronicle: Season 1
32,Marvel's What If...?: Season 1,"August 11, 2021",69,Marvel's What If...?: Season 1
33,24: Live Another Day: Season 9,"May 5, 2014",70,24: Live Another Day: Season 9
34,Public Morals: Season 1,"August 25, 2015",69,Public Morals: Season 1
35,Mrs. Wilson,"March 31, 2019",70,Mrs. Wilson
36,Wolf Like Me: Season 1,"January 13, 2022",69,Wolf Like Me: Season 1
37,My Next Guest Needs No Introduction With David Letterman: Season 1,"January 12, 2018",70,My Next Guest Needs No Introduction With David Letterman: Season 1
38,Drop Dead Diva: Season 1,"July 12, 2009",69,Drop Dead Diva: Season 1
39,Trollhunters: Season 1,"December 23, 2016",69,Trollhunters: Season 1
40,Falling Skies: Season 1,"June 19, 2011",70,Falling Skies: Season 1
41,Gentefied: Season 1,"February 21, 2020",70,Gentefied: Season 1
42,Mrs. Harris,"February 25, 2006",70,Mrs. Harris
43,Dirty Sexy Money: Season 2,"October 1, 2008",70,Dirty Sexy Money: Season 2
44,Saints & Strangers,"November 22, 2015",70,Saints & Strangers
45,Cobra Kai: Season 4,"December 31, 2021",70,Cobra Kai: Season 4
46,This Is a Robbery: The World's Biggest Art Heist: Season 1,"April 7, 2021",70,This Is a Robbery: The World's Biggest Art Heist: Season 1
47,Southland: Season 1,"April 9, 2009",69,Southland: Season 1
48,The Chair (2014): Season 1,"September 6, 2014",70,The Chair (2014): Season 1
49,Star Trek: Picard: Season 2,"March 3, 2022",69,Star Trek: Picard: Season 2
50,Peacemaker: Season 1,"January 13, 2022",70,Peacemaker: Season 1
51,Human Target: Season 1,"January 17, 2010",69,Human Target: Season 1
52,Belgravia: Season 1,"April 12, 2020",70,Belgravia: Season 1
53,Addiction,"March 15, 2007",70,Addiction
54,Mildred Pierce: Season 1,"March 27, 2011",69,Mildred Pierce: Season 1
55,The Real World: Season 3,"June 23, 1994",70,The Real World: Season 3
56,The L.A. Complex: Season 1,"January 10, 2012",70,The L.A. Complex: Season 1
57,Pam & Tommy: Season 1,"February 2, 2022",70,Pam & Tommy: Season 1
58,The Musketeers: Season 1,"January 19, 2014",69,The Musketeers: Season 1
59,Halt and Catch Fire: Season 1,"June 1, 2014",69,Halt and Catch Fire: Season 1
60,The Killing: Season 3,"June 2, 2013",69,The Killing: Season 3
61,Clear History,"August 10, 2013",69,Clear History
62,His Dark Materials: Season 1,"November 3, 2019",69,His Dark Materials: Season 1
63,Orphan Black: Season 3,"April 18, 2015",70,Orphan Black: Season 3
64,Grantchester: Season 1,"October 6, 2014",70,Grantchester: Season 1
65,Karen Sisco: Season 1,"October 1, 2003",70,Karen Sisco: Season 1
66,The Inventor: Out for Blood in Silicon Valley,"March 18, 2019",69,The Inventor: Out for Blood in Silicon Valley
67,The Third Day: Season 1,"September 14, 2020",70,The Third Day: Season 1
68,Ziwe: Season 1,"May 9, 2021",69,Ziwe: Season 1
69,Scenes From A Marriage: Season 1,"September 12, 2021",70,Scenes From A Marriage: Season 1
70,The X-Files: Season 1,"September 10, 1993",70,The X-Files: Season 1
71,Project Runway: Season 1,"December 1, 2004",70,Project Runway: Season 1
72,Succession: Season 1,"June 3, 2018",70,Succession: Season 1
73,NewsRadio: Season 1,"March 21, 1995",70,NewsRadio: Season 1
74,Hannibal: Season 1,"April 4, 2013",70,Hannibal: Season 1
75,Rubicon: Season 1,"August 1, 2010",69,Rubicon: Season 1
76,Colony: Season 1,"January 14, 2016",69,Colony: Season 1
77,Gangs of London: Season 1,"April 23, 2020",70,Gangs of London: Season 1
78,Weeds: Season 1,"August 7, 2005",70,Weeds: Season 1
79,What Would Diplo Do?: Season 1,"August 3, 2017",69,What Would Diplo Do?: Season 1
80,High Fidelity: Season 1,"February 14, 2020",70,High Fidelity: Season 1
81,Red Oaks: Season 1,"October 9, 2015",70,Red Oaks: Season 1
82,The Fades: Season 1,"January 14, 2012",69,The Fades: Season 1
83,Community: Season 4,"February 7, 2013",69,Community: Season 4
84,"Push, Nevada: Season 1","September 17, 2002",70,"Push, Nevada: Season 1"
85,The X Factor: Season 1,"September 21, 2011",70,The X Factor: Season 1
86,Resident Alien: Season 1,"January 27, 2021",70,Resident Alien: Season 1
87,Taking on Tyson: Season 1,"March 6, 2011",69,Taking on Tyson: Season 1
88,The Innocents (2018): Season 1,"August 24, 2018",70,The Innocents (2018): Season 1
89,O.G.,"February 23, 2019",69,O.G.
90,Ashes to Ashes: Season 1,"March 7, 2009",70,Ashes to Ashes: Season 1
91,Community: Season 1,"September 17, 2009",69,Community: Season 1
92,The Spoils of Babylon: Season 1,"January 9, 2014",69,The Spoils of Babylon: Season 1
93,Doom Patrol: Season 1,"February 15, 2019",70,Doom Patrol: Season 1
94,The Mandalorian: Season 1,"November 12, 2019",70,The Mandalorian: Season 1
95,Tracey Ullman's Show: Season 1,"October 28, 2016",70,Tracey Ullman's Show: Season 1
96,The Middle: Season 1,"September 30, 2009",70,The Middle: Season 1
97,The Boys Presents: Diabolical: Season 1,"March 4, 2022",70,The Boys Presents: Diabolical: Season 1
98,Nip/Tuck: Season 1,"July 22, 2003",70,Nip/Tuck: Season 1
99,Bless the Harts: Season 1,"September 29, 2019",70,Bless the Harts: Season 1
100,The Miniaturist,"September 9, 2018",69,The Miniaturist
101,Trying: Season 1,"May 1, 2020",69,Trying: Season 1
102,Creature Comforts: Season 1,"June 4, 2007",69,Creature Comforts: Season 1
103,Paterno,"April 7, 2018",69,Paterno
104,Life Unexpected: Season 1,"January 18, 2010",69,Life Unexpected: Season 1
105,The Fugitive: Season 1,"October 6, 2000",69,The Fugitive: Season 1
106,Bent (2012): Season 1,"March 21, 2012",68,Bent (2012): Season 1
107,A Very Murray Christmas,"December 4, 2015",68,A Very Murray Christmas
108,The Outsider (2020): Season 1,"January 12, 2020",68,The Outsider (2020): Season 1
109,Squid Game: Season 1,"September 17, 2021",69,Squid Game: Season 1
110,Emergence: Season 1,"September 24, 2019",69,Emergence: Season 1
111,La Femme Nikita: Season 1,"January 13, 1997",68,La Femme Nikita: Season 1
112,Muppets Now: Season 1,"July 31, 2020",68,Muppets Now: Season 1
113,Castle Rock (2018): Season 2,"October 23, 2019",69,Castle Rock (2018): Season 2
114,Gossip Girl: Season 2,"September 1, 2008",69,Gossip Girl: Season 2
115,Winning Time: The Rise of the Lakers Dynasty: Season 1,"March 6, 2022",68,Winning Time: The Rise of the Lakers Dynasty: Season 1
116,I Just Want My Pants Back: Season 1,"August 28, 2011",68,I Just Want My Pants Back: Season 1
117,Greenleaf: Season 1,"June 21, 2016",68,Greenleaf: Season 1
118,Soul Food: Season 1,"July 5, 2000",69,Soul Food: Season 1
119,Entourage: Season 1,"July 18, 2004",68,Entourage: Season 1
120,Empire (2015): Season 1,"January 7, 2015",69,Empire (2015): Season 1
121,The Spy: Season 1,"September 6, 2019",68,The Spy: Season 1
122,Fargo: Season 4,"September 27, 2020",68,Fargo: Season 4
123,Tales From the Loop: Season 1,"April 3, 2020",68,Tales From the Loop: Season 1
124,No Tomorrow: Season 1,"October 4, 2016",69,No Tomorrow: Season 1
125,Burden of Truth: Season 1,"January 10, 2018",69,Burden of Truth: Season 1
126,Philip K. Dick's Electric Dreams: Season 1,"September 17, 2017",68,Philip K. Dick's Electric Dreams: Season 1
127,Made For Love: Season 1,"April 1, 2021",68,Made For Love: Season 1
128,Alpha House: Season 1,"April 19, 2013",68,Alpha House: Season 1
129,Shadow and Bone: Season 1,"April 23, 2021",68,Shadow and Bone: Season 1
130,1883: Season 1,"December 19, 2021",69,1883: Season 1
131,Seven Seconds: Season 1,"February 23, 2018",68,Seven Seconds: Season 1
132,Big Love: Season 4,"January 10, 2010",68,Big Love: Season 4
133,The Hot Zone: Season 1,"May 27, 2019",69,The Hot Zone: Season 1
134,The Get Down: Season 1,"August 12, 2016",69,The Get Down: Season 1
135,The Tudors: Season 2,"March 30, 2008",68,The Tudors: Season 2
136,The Detour: Season 1,"April 11, 2016",69,The Detour: Season 1
137,How I Met Your Mother: Season 1,"September 19, 2005",69,How I Met Your Mother: Season 1
138,Patriot: Season 1,"November 3, 2015",68,Patriot: Season 1
139,"Love, Victor: Season 1","June 17, 2020",69,"Love, Victor: Season 1"
140,Fosse/Verdon: Season 1,"April 9, 2019",68,Fosse/Verdon: Season 1
141,Euphoria: Season 1,"June 16, 2019",68,Euphoria: Season 1
142,Orange is the New Black: Season 6,"July 27, 2018",69,Orange is the New Black: Season 6
143,Ethel: Season 1,"October 18, 2012",68,Ethel: Season 1
144,Jim Henson's Creature Shop Challenge: Season 1,"March 25, 2014",69,Jim Henson's Creature Shop Challenge: Season 1
145,Homeland: Season 6,"January 15, 2017",68,Homeland: Season 6
146,Sons of Anarchy: Season 1,"September 3, 2008",68,Sons of Anarchy: Season 1
147,My Dinner with Herve,"October 20, 2018",68,My Dinner with Herve
148,Another Period: Season 1,"June 23, 2015",68,Another Period: Season 1
149,Boston Legal: Season 1,"October 3, 2004",69,Boston Legal: Season 1
150,Pan Am: Season 1,"September 25, 2011",68,Pan Am: Season 1
151,Girlfriends' Guide to Divorce: Season 1,"December 2, 2014",69,Girlfriends' Guide to Divorce: Season 1
152,Grand Army: Season 1,"October 16, 2020",68,Grand Army: Season 1
153,Baskets: Season 1,"January 21, 2016",68,Baskets: Season 1
154,The Nine Lives of Chloe King: Season 1,"June 14, 2011",68,The Nine Lives of Chloe King: Season 1
155,American Auto: Season 1,"December 13, 2021",68,American Auto: Season 1
156,Kidding: Season 1,"September 9, 2018",68,Kidding: Season 1
157,American Horror Story: Season 4,"October 8, 2014",69,American Horror Story: Season 4
158,George W. Bush: The 9/11 Interview,"August 28, 2011",68,George W. Bush: The 9/11 Interview
159,Amanda Knox: Murder on Trial in Italy: Season 1,"February 21, 2011",69,Amanda Knox: Murder on Trial in Italy: Season 1
160,Flight of the Conchords: Season 1,"June 17, 2007",68,Flight of the Conchords: Season 1
161,Odd Mom Out: Season 1,"June 9, 2015",68,Odd Mom Out: Season 1
162,The Fosters: Season 1,"June 3, 2013",69,The Fosters: Season 1
163,Becoming Us: Season 1,"June 8, 2015",68,Becoming Us: Season 1
164,King of the Hill: Season 1,"January 12, 1997",68,King of the Hill: Season 1
165,I Know This Much Is True: Season 1,"May 10, 2020",68,I Know This Much Is True: Season 1
166,Pitch: Season 1,"September 22, 2016",69,Pitch: Season 1
167,The Jim Gaffigan Show: Season 1,"July 15, 2015",69,The Jim Gaffigan Show: Season 1
168,The Riches: Season 1,"March 12, 2007",69,The Riches: Season 1
169,Cybill: Season 1,"January 2, 1995",69,Cybill: Season 1
170,Work of Art: The Next Great Artist: Season 1,"June 9, 2010",68,Work of Art: The Next Great Artist: Season 1
171,Dave Chappelle: Deep in the Heart of Texas,"March 21, 2017",68,Dave Chappelle: Deep in the Heart of Texas
172,Leverage: Season 1,"December 7, 2008",68,Leverage: Season 1
173,Grey's Anatomy: Season 5,"September 25, 2008",68,Grey's Anatomy: Season 5
174,The State Within: Season 1,"January 29, 2007",68,The State Within: Season 1
175,A Wilderness of Error,"September 25, 2020",69,A Wilderness of Error
176,The Witcher: Season 2,"December 17, 2021",69,The Witcher: Season 2
177,11.22.63: Season 1,"February 15, 2016",69,11.22.63: Season 1
178,The Killing: Season 2,"April 1, 2012",68,The Killing: Season 2
179,Law & Order: Special Victims Unit: Season 1,"September 20, 1999",68,Law & Order: Special Victims Unit: Season 1
180,The Kominsky Method: Season 1,"November 16, 2018",68,The Kominsky Method: Season 1
181,Felicity: An American Girl Adventure,"November 29, 2005",68,Felicity: An American Girl Adventure
182,The Gilded Age: Season 1,"January 24, 2022",68,The Gilded Age: Season 1
183,The 4400: Season 1,"July 11, 2004",68,The 4400: Season 1
184,"Big Time in Hollywood, FL: Season 1","March 25, 2015",68,"Big Time in Hollywood, FL: Season 1"
185,Murder in the First: Season 1,"June 9, 2014",68,Murder in the First: Season 1
186,Hatfields & McCoys,"May 28, 2012",68,Hatfields & McCoys
187,Dopesick,"October 13, 2021",68,Dopesick
188,American Dreams: Season 1,"September 29, 2002",68,American Dreams: Season 1
189,Kidnapped: Season 1,"September 20, 2006",68,Kidnapped: Season 1
190,The Young Pope: Season 1,"January 15, 2017",68,The Young Pope: Season 1
191,The Nightly Show with Larry Wilmore: Season 1,"January 19, 2015",69,The Nightly Show with Larry Wilmore: Season 1
192,Bette: Season 1,"October 11, 2000",68,Bette: Season 1
193,Rome: Season 2,"January 14, 2007",68,Rome: Season 2
194,CSI: Miami: Season 1,"September 23, 2002",69,CSI: Miami: Season 1
195,How to Get Away With Murder: Season 1,"September 25, 2014",68,How to Get Away With Murder: Season 1
196,Betas: Season 1,"April 19, 2013",69,Betas: Season 1
197,Perry Mason (2020): Season 1,"June 21, 2020",68,Perry Mason (2020): Season 1
198,Burn Notice: Season 1,"June 28, 2007",69,Burn Notice: Season 1
199,Reacher: Season 1,"February 4, 2022",68,Reacher: Season 1
